Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 09:05:04,VR2Tx-480876,Initialization,lifewatch,
2020-02-28 09:05:04,VR2Tx-480876,Data Upload,VR2Tx_480876_20200508_1.vrl,
2020-02-28 09:05:04,VR2Tx-480876,PC Time,2020-02-28 10:05:04 UTC+01:00,
2020-02-28 09:05:04,VR2Tx-480876,69 kHz decoding map,MAP-114,
2020-02-28 09:05:04,VR2Tx-480876,69 kHz blanking interval,260,ms
2020-02-28 10:00:00,VR2Tx-480876,Battery,3.6,V
2020-02-28 10:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,915,
2020-02-28 10:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,88,
2020-02-28 10:00:00,VR2Tx-480876,Tilt angle,18,°
2020-02-28 10:00:00,VR2Tx-480876,Temperature,6.5,°C
2020-02-28 10:00:00,VR2Tx-480876,Average noise,300.6,mV
2020-02-28 11:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 11:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,960,
2020-02-28 11:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,73,
2020-02-28 11:00:00,VR2Tx-480876,Tilt angle,18,°
2020-02-28 11:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 11:00:00,VR2Tx-480876,Average noise,434.5,mV
2020-02-28 12:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 12:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,684,
2020-02-28 12:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,44,
2020-02-28 12:00:00,VR2Tx-480876,Tilt angle,18,°
2020-02-28 12:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 12:00:00,VR2Tx-480876,Average noise,515.3,mV
2020-02-28 13:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 13:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,385,
2020-02-28 13:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,18,
2020-02-28 13:00:00,VR2Tx-480876,Tilt angle,15,°
2020-02-28 13:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 13:00:00,VR2Tx-480876,Average noise,556.0,mV
2020-02-28 14:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 14:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,493,
2020-02-28 14:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,24,
2020-02-28 14:00:00,VR2Tx-480876,Tilt angle,12,°
2020-02-28 14:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 14:00:00,VR2Tx-480876,Average noise,555.5,mV
2020-02-28 15:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 15:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,319,
2020-02-28 15:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,17,
2020-02-28 15:00:00,VR2Tx-480876,Tilt angle,27,°
2020-02-28 15:00:00,VR2Tx-480876,Temperature,6.8,°C
2020-02-28 15:00:00,VR2Tx-480876,Average noise,569.8,mV
2020-02-28 16:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 16:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,460,
2020-02-28 16:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,35,
2020-02-28 16:00:00,VR2Tx-480876,Tilt angle,20,°
2020-02-28 16:00:00,VR2Tx-480876,Temperature,6.8,°C
2020-02-28 16:00:00,VR2Tx-480876,Average noise,561.0,mV
2020-02-28 17:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 17:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,883,
2020-02-28 17:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,82,
2020-02-28 17:00:00,VR2Tx-480876,Tilt angle,14,°
2020-02-28 17:00:00,VR2Tx-480876,Temperature,6.8,°C
2020-02-28 17:00:00,VR2Tx-480876,Average noise,501.9,mV
2020-02-28 18:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-28 18:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,1233,
2020-02-28 18:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,114,
2020-02-28 18:00:00,VR2Tx-480876,Tilt angle,18,°
2020-02-28 18:00:00,VR2Tx-480876,Temperature,6.8,°C
2020-02-28 18:00:00,VR2Tx-480876,Average noise,422.1,mV
2020-02-28 19:00:00,VR2Tx-480876,Battery,3.6,V
2020-02-28 19:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,1452,
2020-02-28 19:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,139,
2020-02-28 19:00:00,VR2Tx-480876,Tilt angle,22,°
2020-02-28 19:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 19:00:00,VR2Tx-480876,Average noise,209.1,mV
2020-02-28 20:00:00,VR2Tx-480876,Battery,3.6,V
2020-02-28 20:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,1500,
2020-02-28 20:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,154,
2020-02-28 20:00:00,VR2Tx-480876,Tilt angle,18,°
2020-02-28 20:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 20:00:00,VR2Tx-480876,Average noise,179.9,mV
2020-02-28 21:00:00,VR2Tx-480876,Battery,3.6,V
2020-02-28 21:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,1484,
2020-02-28 21:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,138,
2020-02-28 21:00:00,VR2Tx-480876,Tilt angle,22,°
2020-02-28 21:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 21:00:00,VR2Tx-480876,Average noise,168.6,mV
2020-02-28 22:00:00,VR2Tx-480876,Battery,3.6,V
2020-02-28 22:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,1394,
2020-02-28 22:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,138,
2020-02-28 22:00:00,VR2Tx-480876,Tilt angle,19,°
2020-02-28 22:00:00,VR2Tx-480876,Temperature,6.7,°C
2020-02-28 22:00:00,VR2Tx-480876,Average noise,244.1,mV
2020-02-28 23:00:00,VR2Tx-480876,Battery,3.6,V
2020-02-28 23:00:00,VR2Tx-480876,Hourly Pings on 69 kHz,1028,
2020-02-28 23:00:00,VR2Tx-480876,Hourly Detections on 69 kHz,94,
2020-02-28 23:00:00,VR2Tx-480876,Tilt angle,15,°
2020-02-28 23:00:00,VR2Tx-480876,Temperature,6.8,°C
2020-02-28 23:00:00,VR2Tx-480876,Average noise,371.2,mV
2020-02-29 00:00:00,VR2Tx-480876,Memory Capacity,0.1,%
2020-02-29 00:00:00,VR2Tx-480876,Battery,3.5,V
2020-02-29 00:00:00,VR2Tx-480876,Pings on 69 kHz,13962,
2020-02-29 00:00:00,VR2Tx-480876,Syncs on 69 kHz,2165,
2020-02-29 00:00:00,VR2Tx-480876,Rejects on 69 kHz,94,
