Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 08:19:39,VR2Tx-480873,Initialization,lifewatch,
2020-02-28 08:19:39,VR2Tx-480873,Data Upload,VR2Tx_480873_20200508_1.vrl,
2020-02-28 08:19:39,VR2Tx-480873,PC Time,2020-02-28 09:19:39 UTC+01:00,
2020-02-28 08:19:39,VR2Tx-480873,69 kHz decoding map,MAP-114,
2020-02-28 08:19:39,VR2Tx-480873,69 kHz blanking interval,260,ms
2020-02-28 09:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 09:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,382,
2020-02-28 09:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,48,
2020-02-28 09:00:00,VR2Tx-480873,Tilt angle,18,°
2020-02-28 09:00:00,VR2Tx-480873,Temperature,7.2,°C
2020-02-28 09:00:00,VR2Tx-480873,Average noise,225.1,mV
2020-02-28 10:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 10:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,864,
2020-02-28 10:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,85,
2020-02-28 10:00:00,VR2Tx-480873,Tilt angle,21,°
2020-02-28 10:00:00,VR2Tx-480873,Temperature,7.3,°C
2020-02-28 10:00:00,VR2Tx-480873,Average noise,321.3,mV
2020-02-28 11:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 11:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,744,
2020-02-28 11:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,78,
2020-02-28 11:00:00,VR2Tx-480873,Tilt angle,18,°
2020-02-28 11:00:00,VR2Tx-480873,Temperature,7.4,°C
2020-02-28 11:00:00,VR2Tx-480873,Average noise,476.0,mV
2020-02-28 12:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 12:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,566,
2020-02-28 12:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,62,
2020-02-28 12:00:00,VR2Tx-480873,Tilt angle,20,°
2020-02-28 12:00:00,VR2Tx-480873,Temperature,7.4,°C
2020-02-28 12:00:00,VR2Tx-480873,Average noise,532.6,mV
2020-02-28 13:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 13:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,564,
2020-02-28 13:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,61,
2020-02-28 13:00:00,VR2Tx-480873,Tilt angle,19,°
2020-02-28 13:00:00,VR2Tx-480873,Temperature,7.4,°C
2020-02-28 13:00:00,VR2Tx-480873,Average noise,559.1,mV
2020-02-28 14:00:00,VR2Tx-480873,Battery,3.5,V
2020-02-28 14:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,583,
2020-02-28 14:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,65,
2020-02-28 14:00:00,VR2Tx-480873,Tilt angle,18,°
2020-02-28 14:00:00,VR2Tx-480873,Temperature,7.5,°C
2020-02-28 14:00:00,VR2Tx-480873,Average noise,563.8,mV
2020-02-28 15:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 15:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,543,
2020-02-28 15:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,61,
2020-02-28 15:00:00,VR2Tx-480873,Tilt angle,14,°
2020-02-28 15:00:00,VR2Tx-480873,Temperature,7.5,°C
2020-02-28 15:00:00,VR2Tx-480873,Average noise,587.2,mV
2020-02-28 16:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 16:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,593,
2020-02-28 16:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,72,
2020-02-28 16:00:00,VR2Tx-480873,Tilt angle,13,°
2020-02-28 16:00:00,VR2Tx-480873,Temperature,7.5,°C
2020-02-28 16:00:00,VR2Tx-480873,Average noise,574.7,mV
2020-02-28 17:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 17:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,601,
2020-02-28 17:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,72,
2020-02-28 17:00:00,VR2Tx-480873,Tilt angle,17,°
2020-02-28 17:00:00,VR2Tx-480873,Temperature,7.5,°C
2020-02-28 17:00:00,VR2Tx-480873,Average noise,481.2,mV
2020-02-28 18:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 18:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,861,
2020-02-28 18:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,97,
2020-02-28 18:00:00,VR2Tx-480873,Tilt angle,20,°
2020-02-28 18:00:00,VR2Tx-480873,Temperature,7.5,°C
2020-02-28 18:00:00,VR2Tx-480873,Average noise,395.9,mV
2020-02-28 19:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 19:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,1276,
2020-02-28 19:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,119,
2020-02-28 19:00:00,VR2Tx-480873,Tilt angle,21,°
2020-02-28 19:00:00,VR2Tx-480873,Temperature,7.4,°C
2020-02-28 19:00:00,VR2Tx-480873,Average noise,225.7,mV
2020-02-28 20:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 20:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,1439,
2020-02-28 20:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,132,
2020-02-28 20:00:00,VR2Tx-480873,Tilt angle,18,°
2020-02-28 20:00:00,VR2Tx-480873,Temperature,7.4,°C
2020-02-28 20:00:00,VR2Tx-480873,Average noise,202.6,mV
2020-02-28 21:00:00,VR2Tx-480873,Battery,3.6,V
2020-02-28 21:00:00,VR2Tx-480873,Hourly Pings on 69 kHz,1377,
2020-02-28 21:00:00,VR2Tx-480873,Hourly Detections on 69 kHz,129,
2020-02-28 21:00:00,VR2Tx-480873,Tilt angle,16,°
2020-02-28 21:00:00,VR2Tx-480873,Temperature,7.4,°C
2020-02-28 21:00:00,VR2Tx-480873,Average noise,184.8,mV
2020-02-28 22:00:00,VR2Tx-480873,Battery,3.6,V
