Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 09:31:45,VR2Tx-480878,Initialization,lifewatch,
2020-02-28 09:31:45,VR2Tx-480878,Data Upload,VR2Tx_480878_20200508_1.vrl,
2020-02-28 09:31:45,VR2Tx-480878,PC Time,2020-02-28 10:31:45 UTC+01:00,
2020-02-28 09:31:45,VR2Tx-480878,69 kHz decoding map,MAP-114,
2020-02-28 09:31:45,VR2Tx-480878,69 kHz blanking interval,260,ms
2020-02-28 10:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 10:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,412,
2020-02-28 10:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,38,
2020-02-28 10:00:00,VR2Tx-480878,Tilt angle,9,°
2020-02-28 10:00:00,VR2Tx-480878,Temperature,7.2,°C
2020-02-28 10:00:00,VR2Tx-480878,Average noise,342.8,mV
2020-02-28 11:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 11:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,731,
2020-02-28 11:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,66,
2020-02-28 11:00:00,VR2Tx-480878,Tilt angle,15,°
2020-02-28 11:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 11:00:00,VR2Tx-480878,Average noise,409.5,mV
2020-02-28 12:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 12:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,560,
2020-02-28 12:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,47,
2020-02-28 12:00:00,VR2Tx-480878,Tilt angle,19,°
2020-02-28 12:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 12:00:00,VR2Tx-480878,Average noise,490.4,mV
2020-02-28 13:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 13:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,455,
2020-02-28 13:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,39,
2020-02-28 13:00:00,VR2Tx-480878,Tilt angle,19,°
2020-02-28 13:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 13:00:00,VR2Tx-480878,Average noise,514.4,mV
2020-02-28 14:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 14:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,441,
2020-02-28 14:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,44,
2020-02-28 14:00:00,VR2Tx-480878,Tilt angle,25,°
2020-02-28 14:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 14:00:00,VR2Tx-480878,Average noise,527.7,mV
2020-02-28 15:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 15:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,451,
2020-02-28 15:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,39,
2020-02-28 15:00:00,VR2Tx-480878,Tilt angle,24,°
2020-02-28 15:00:00,VR2Tx-480878,Temperature,7.4,°C
2020-02-28 15:00:00,VR2Tx-480878,Average noise,538.8,mV
2020-02-28 16:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 16:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,499,
2020-02-28 16:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,46,
2020-02-28 16:00:00,VR2Tx-480878,Tilt angle,22,°
2020-02-28 16:00:00,VR2Tx-480878,Temperature,7.4,°C
2020-02-28 16:00:00,VR2Tx-480878,Average noise,522.6,mV
2020-02-28 17:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 17:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,726,
2020-02-28 17:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,78,
2020-02-28 17:00:00,VR2Tx-480878,Tilt angle,18,°
2020-02-28 17:00:00,VR2Tx-480878,Temperature,7.4,°C
2020-02-28 17:00:00,VR2Tx-480878,Average noise,456.3,mV
2020-02-28 18:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 18:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,1062,
2020-02-28 18:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,109,
2020-02-28 18:00:00,VR2Tx-480878,Tilt angle,23,°
2020-02-28 18:00:00,VR2Tx-480878,Temperature,7.4,°C
2020-02-28 18:00:00,VR2Tx-480878,Average noise,360.1,mV
2020-02-28 19:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 19:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,1390,
2020-02-28 19:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,143,
2020-02-28 19:00:00,VR2Tx-480878,Tilt angle,32,°
2020-02-28 19:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 19:00:00,VR2Tx-480878,Average noise,194.7,mV
2020-02-28 20:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 20:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,1408,
2020-02-28 20:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,143,
2020-02-28 20:00:00,VR2Tx-480878,Tilt angle,18,°
2020-02-28 20:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 20:00:00,VR2Tx-480878,Average noise,183.1,mV
2020-02-28 21:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 21:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,1454,
2020-02-28 21:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,135,
2020-02-28 21:00:00,VR2Tx-480878,Tilt angle,19,°
2020-02-28 21:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 21:00:00,VR2Tx-480878,Average noise,169.6,mV
2020-02-28 22:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 22:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,1208,
2020-02-28 22:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,108,
2020-02-28 22:00:00,VR2Tx-480878,Tilt angle,26,°
2020-02-28 22:00:00,VR2Tx-480878,Temperature,7.3,°C
2020-02-28 22:00:00,VR2Tx-480878,Average noise,236.1,mV
2020-02-28 23:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-28 23:00:00,VR2Tx-480878,Hourly Pings on 69 kHz,734,
2020-02-28 23:00:00,VR2Tx-480878,Hourly Detections on 69 kHz,66,
2020-02-28 23:00:00,VR2Tx-480878,Tilt angle,21,°
2020-02-28 23:00:00,VR2Tx-480878,Temperature,7.4,°C
2020-02-28 23:00:00,VR2Tx-480878,Average noise,355.5,mV
2020-02-29 00:00:00,VR2Tx-480878,Memory Capacity,0.1,%
2020-02-29 00:00:00,VR2Tx-480878,Battery,3.6,V
2020-02-29 00:00:00,VR2Tx-480878,Pings on 69 kHz,12173,
2020-02-29 00:00:00,VR2Tx-480878,Syncs on 69 kHz,1760,
