Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 08:51:45,VR2Tx-480875,Initialization,lifewatch,
2020-02-28 08:51:45,VR2Tx-480875,Data Upload,VR2Tx_480875_20200508_1.vrl,
2020-02-28 08:51:45,VR2Tx-480875,PC Time,2020-02-28 09:51:45 UTC+01:00,
2020-02-28 08:51:45,VR2Tx-480875,69 kHz decoding map,MAP-114,
2020-02-28 08:51:45,VR2Tx-480875,69 kHz blanking interval,260,ms
2020-02-28 09:00:00,VR2Tx-480875,Battery,3.6,V
2020-02-28 09:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,108,
2020-02-28 09:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,8,
2020-02-28 09:00:00,VR2Tx-480875,Tilt angle,36,°
2020-02-28 09:00:00,VR2Tx-480875,Temperature,7.0,°C
2020-02-28 09:00:00,VR2Tx-480875,Average noise,199.7,mV
2020-02-28 10:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 10:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,791,
2020-02-28 10:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,54,
2020-02-28 10:00:00,VR2Tx-480875,Tilt angle,37,°
2020-02-28 10:00:00,VR2Tx-480875,Temperature,6.3,°C
2020-02-28 10:00:00,VR2Tx-480875,Average noise,299.6,mV
2020-02-28 11:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 11:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,479,
2020-02-28 11:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,42,
2020-02-28 11:00:00,VR2Tx-480875,Tilt angle,44,°
2020-02-28 11:00:00,VR2Tx-480875,Temperature,6.4,°C
2020-02-28 11:00:00,VR2Tx-480875,Average noise,452.2,mV
2020-02-28 12:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 12:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,321,
2020-02-28 12:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,39,
2020-02-28 12:00:00,VR2Tx-480875,Tilt angle,39,°
2020-02-28 12:00:00,VR2Tx-480875,Temperature,6.5,°C
2020-02-28 12:00:00,VR2Tx-480875,Average noise,519.7,mV
2020-02-28 13:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 13:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,282,
2020-02-28 13:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,35,
2020-02-28 13:00:00,VR2Tx-480875,Tilt angle,39,°
2020-02-28 13:00:00,VR2Tx-480875,Temperature,6.4,°C
2020-02-28 13:00:00,VR2Tx-480875,Average noise,557.1,mV
2020-02-28 14:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 14:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,299,
2020-02-28 14:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,37,
2020-02-28 14:00:00,VR2Tx-480875,Tilt angle,38,°
2020-02-28 14:00:00,VR2Tx-480875,Temperature,6.5,°C
2020-02-28 14:00:00,VR2Tx-480875,Average noise,555.9,mV
2020-02-28 15:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 15:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,296,
2020-02-28 15:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,37,
2020-02-28 15:00:00,VR2Tx-480875,Tilt angle,37,°
2020-02-28 15:00:00,VR2Tx-480875,Temperature,6.5,°C
2020-02-28 15:00:00,VR2Tx-480875,Average noise,585.0,mV
2020-02-28 16:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 16:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,315,
2020-02-28 16:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,39,
2020-02-28 16:00:00,VR2Tx-480875,Tilt angle,37,°
2020-02-28 16:00:00,VR2Tx-480875,Temperature,6.5,°C
2020-02-28 16:00:00,VR2Tx-480875,Average noise,547.5,mV
2020-02-28 17:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 17:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,476,
2020-02-28 17:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,46,
2020-02-28 17:00:00,VR2Tx-480875,Tilt angle,36,°
2020-02-28 17:00:00,VR2Tx-480875,Temperature,6.5,°C
2020-02-28 17:00:00,VR2Tx-480875,Average noise,449.7,mV
2020-02-28 18:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 18:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,1090,
2020-02-28 18:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,104,
2020-02-28 18:00:00,VR2Tx-480875,Tilt angle,35,°
2020-02-28 18:00:00,VR2Tx-480875,Temperature,6.5,°C
2020-02-28 18:00:00,VR2Tx-480875,Average noise,374.0,mV
2020-02-28 19:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 19:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,1469,
2020-02-28 19:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,153,
2020-02-28 19:00:00,VR2Tx-480875,Tilt angle,33,°
2020-02-28 19:00:00,VR2Tx-480875,Temperature,6.5,°C
2020-02-28 19:00:00,VR2Tx-480875,Average noise,214.4,mV
2020-02-28 20:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 20:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,1475,
2020-02-28 20:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,133,
2020-02-28 20:00:00,VR2Tx-480875,Tilt angle,34,°
2020-02-28 20:00:00,VR2Tx-480875,Temperature,6.4,°C
2020-02-28 20:00:00,VR2Tx-480875,Average noise,194.0,mV
2020-02-28 21:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 21:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,1436,
2020-02-28 21:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,136,
2020-02-28 21:00:00,VR2Tx-480875,Tilt angle,36,°
2020-02-28 21:00:00,VR2Tx-480875,Temperature,6.4,°C
2020-02-28 21:00:00,VR2Tx-480875,Average noise,176.5,mV
2020-02-28 22:00:00,VR2Tx-480875,Battery,3.5,V
2020-02-28 22:00:00,VR2Tx-480875,Hourly Pings on 69 kHz,1324,
2020-02-28 22:00:00,VR2Tx-480875,Hourly Detections on 69 kHz,116,
2020-02-28 22:00:00,VR2Tx-480875,Tilt angle,37,°
