Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 08:33:56,VR2Tx-480874,Initialization,lifewatch,
2020-02-28 08:33:56,VR2Tx-480874,Data Upload,VR2Tx_480874_20200508_1.vrl,
2020-02-28 08:33:56,VR2Tx-480874,PC Time,2020-02-28 09:33:56 UTC+01:00,
2020-02-28 08:33:56,VR2Tx-480874,69 kHz decoding map,MAP-114,
2020-02-28 08:33:56,VR2Tx-480874,69 kHz blanking interval,260,ms
2020-02-28 09:00:00,VR2Tx-480874,Battery,3.6,V
2020-02-28 09:00:00,VR2Tx-480874,Hourly Pings on 69 kHz,317,
2020-02-28 09:00:00,VR2Tx-480874,Hourly Detections on 69 kHz,36,
2020-02-28 09:00:00,VR2Tx-480874,Tilt angle,20,°
2020-02-28 09:00:00,VR2Tx-480874,Temperature,7.6,°C
2020-02-28 09:00:00,VR2Tx-480874,Average noise,231.9,mV
2020-02-28 10:00:00,VR2Tx-480874,Battery,3.6,V
2020-02-28 10:00:00,VR2Tx-480874,Hourly Pings on 69 kHz,885,
2020-02-28 10:00:00,VR2Tx-480874,Hourly Detections on 69 kHz,79,
2020-02-28 10:00:00,VR2Tx-480874,Tilt angle,24,°
2020-02-28 10:00:00,VR2Tx-480874,Temperature,7.4,°C
2020-02-28 10:00:00,VR2Tx-480874,Average noise,318.6,mV
2020-02-28 11:00:00,VR2Tx-480874,Battery,3.6,V
2020-02-28 11:00:00,VR2Tx-480874,Hourly Pings on 69 kHz,759,
2020-02-28 11:00:00,VR2Tx-480874,Hourly Detections on 69 kHz,74,
2020-02-28 11:00:00,VR2Tx-480874,Tilt angle,28,°
2020-02-28 11:00:00,VR2Tx-480874,Temperature,7.6,°C
2020-02-28 11:00:00,VR2Tx-480874,Average noise,470.2,mV
2020-02-28 12:00:00,VR2Tx-480874,Battery,3.6,V
2020-02-28 12:00:00,VR2Tx-480874,Hourly Pings on 69 kHz,597,
2020-02-28 12:00:00,VR2Tx-480874,Hourly Detections on 69 kHz,68,
2020-02-28 12:00:00,VR2Tx-480874,Tilt angle,28,°
2020-02-28 12:00:00,VR2Tx-480874,Temperature,7.6,°C
2020-02-28 12:00:00,VR2Tx-480874,Average noise,540.9,mV
2020-02-28 13:00:00,VR2Tx-480874,Battery,3.6,V
2020-02-28 13:00:00,VR2Tx-480874,Hourly Pings on 69 kHz,589,
2020-02-28 13:00:00,VR2Tx-480874,Hourly Detections on 69 kHz,67,
2020-02-28 13:00:00,VR2Tx-480874,Tilt angle,25,°
2020-02-28 13:00:00,VR2Tx-480874,Temperature,7.6,°C
2020-02-28 13:00:00,VR2Tx-480874,Average noise,555.9,mV
2020-02-28 14:00:00,VR2Tx-480874,Battery,3.5,V
2020-02-28 14:00:00,VR2Tx-480874,Hourly Pings on 69 kHz,598,
2020-02-28 14:00:00,VR2Tx-480874,Hourly Detections on 69 kHz,68,
2020-02-28 14:00:00,VR2Tx-480874,Tilt angle,19,°
