Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 10:04:25,VR2AR-546044,Initialization,lifewatch,
2020-02-28 10:04:25,VR2AR-546044,Data Upload,VR2AR_546044_20200429_1.vrl,
2020-02-28 10:04:25,VR2AR-546044,PC Time,2020-02-28 11:04:25 UTC+01:00,
2020-02-28 10:04:25,VR2AR-546044,69 kHz decoding map,MAP-114,
2020-02-28 10:04:25,VR2AR-546044,69 kHz blanking interval,260,ms
2020-02-28 11:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 11:00:00,VR2AR-546044,Hourly Pings on 69 kHz,47,
2020-02-28 11:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 11:00:00,VR2AR-546044,Tilt angle,35,°
2020-02-28 11:00:00,VR2AR-546044,Seawater depth,4,m
2020-02-28 11:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 11:00:00,VR2AR-546044,Average noise,578.2,mV
2020-02-28 12:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 12:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 12:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 12:00:00,VR2AR-546044,Tilt angle,39,°
2020-02-28 12:00:00,VR2AR-546044,Seawater depth,4,m
2020-02-28 12:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 12:00:00,VR2AR-546044,Average noise,644.0,mV
2020-02-28 13:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 13:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 13:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 13:00:00,VR2AR-546044,Tilt angle,30,°
2020-02-28 13:00:00,VR2AR-546044,Seawater depth,3,m
2020-02-28 13:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 13:00:00,VR2AR-546044,Average noise,655.8,mV
2020-02-28 14:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 14:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 14:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 14:00:00,VR2AR-546044,Tilt angle,37,°
2020-02-28 14:00:00,VR2AR-546044,Seawater depth,3,m
2020-02-28 14:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 14:00:00,VR2AR-546044,Average noise,665.0,mV
2020-02-28 15:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 15:00:00,VR2AR-546044,Hourly Pings on 69 kHz,56,
2020-02-28 15:00:00,VR2AR-546044,Hourly Detections on 69 kHz,7,
2020-02-28 15:00:00,VR2AR-546044,Tilt angle,35,°
2020-02-28 15:00:00,VR2AR-546044,Seawater depth,2,m
2020-02-28 15:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 15:00:00,VR2AR-546044,Average noise,668.8,mV
2020-02-28 16:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 16:00:00,VR2AR-546044,Hourly Pings on 69 kHz,40,
2020-02-28 16:00:00,VR2AR-546044,Hourly Detections on 69 kHz,5,
2020-02-28 16:00:00,VR2AR-546044,Tilt angle,15,°
2020-02-28 16:00:00,VR2AR-546044,Seawater depth,2,m
2020-02-28 16:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-28 16:00:00,VR2AR-546044,Average noise,644.7,mV
2020-02-28 17:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 17:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 17:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 17:00:00,VR2AR-546044,Tilt angle,10,°
2020-02-28 17:00:00,VR2AR-546044,Seawater depth,3,m
2020-02-28 17:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-28 17:00:00,VR2AR-546044,Average noise,505.5,mV
2020-02-28 18:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 18:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 18:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 18:00:00,VR2AR-546044,Tilt angle,34,°
2020-02-28 18:00:00,VR2AR-546044,Seawater depth,4,m
2020-02-28 18:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 18:00:00,VR2AR-546044,Average noise,412.7,mV
2020-02-28 19:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 19:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 19:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 19:00:00,VR2AR-546044,Tilt angle,53,°
2020-02-28 19:00:00,VR2AR-546044,Seawater depth,5,m
2020-02-28 19:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 19:00:00,VR2AR-546044,Average noise,446.4,mV
2020-02-28 20:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 20:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 20:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 20:00:00,VR2AR-546044,Tilt angle,30,°
2020-02-28 20:00:00,VR2AR-546044,Seawater depth,5,m
2020-02-28 20:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 20:00:00,VR2AR-546044,Average noise,319.4,mV
2020-02-28 21:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 21:00:00,VR2AR-546044,Hourly Pings on 69 kHz,55,
2020-02-28 21:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 21:00:00,VR2AR-546044,Tilt angle,17,°
2020-02-28 21:00:00,VR2AR-546044,Seawater depth,4,m
2020-02-28 21:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 21:00:00,VR2AR-546044,Average noise,230.1,mV
2020-02-28 22:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 22:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 22:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 22:00:00,VR2AR-546044,Tilt angle,23,°
2020-02-28 22:00:00,VR2AR-546044,Seawater depth,4,m
2020-02-28 22:00:00,VR2AR-546044,Temperature,7.1,°C
2020-02-28 22:00:00,VR2AR-546044,Average noise,501.3,mV
2020-02-28 23:00:00,VR2AR-546044,Battery,3.6,V
2020-02-28 23:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-28 23:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-28 23:00:00,VR2AR-546044,Tilt angle,26,°
2020-02-28 23:00:00,VR2AR-546044,Seawater depth,4,m
2020-02-28 23:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-28 23:00:00,VR2AR-546044,Average noise,592.7,mV
2020-02-29 00:00:00,VR2AR-546044,Memory Capacity,0.0,%
2020-02-29 00:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 00:00:00,VR2AR-546044,Pings on 69 kHz,672,
2020-02-29 00:00:00,VR2AR-546044,Syncs on 69 kHz,84,
2020-02-29 00:00:00,VR2AR-546044,Rejects on 69 kHz,0,
2020-02-29 00:00:00,VR2AR-546044,Hourly Pings on 69 kHz,40,
2020-02-29 00:00:00,VR2AR-546044,Hourly Detections on 69 kHz,5,
2020-02-29 00:00:00,VR2AR-546044,Motor battery voltage,3.8,V
2020-02-29 00:00:00,VR2AR-546044,Tilt angle,41,°
2020-02-29 00:00:00,VR2AR-546044,Seawater depth,3,m
2020-02-29 00:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-29 00:00:00,VR2AR-546044,Average noise,633.0,mV
2020-02-29 01:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 01:00:00,VR2AR-546044,Hourly Pings on 69 kHz,56,
2020-02-29 01:00:00,VR2AR-546044,Hourly Detections on 69 kHz,7,
2020-02-29 01:00:00,VR2AR-546044,Tilt angle,31,°
2020-02-29 01:00:00,VR2AR-546044,Seawater depth,3,m
2020-02-29 01:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-29 01:00:00,VR2AR-546044,Average noise,646.8,mV
2020-02-29 02:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 02:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-29 02:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-29 02:00:00,VR2AR-546044,Tilt angle,40,°
2020-02-29 02:00:00,VR2AR-546044,Seawater depth,3,m
2020-02-29 02:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-29 02:00:00,VR2AR-546044,Average noise,652.3,mV
2020-02-29 03:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 03:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-29 03:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-29 03:00:00,VR2AR-546044,Tilt angle,37,°
2020-02-29 03:00:00,VR2AR-546044,Seawater depth,2,m
2020-02-29 03:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-29 03:00:00,VR2AR-546044,Average noise,647.9,mV
2020-02-29 04:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 04:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-29 04:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-29 04:00:00,VR2AR-546044,Tilt angle,27,°
2020-02-29 04:00:00,VR2AR-546044,Seawater depth,2,m
2020-02-29 04:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-29 04:00:00,VR2AR-546044,Average noise,608.7,mV
2020-02-29 05:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 05:00:00,VR2AR-546044,Hourly Pings on 69 kHz,49,
2020-02-29 05:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-29 05:00:00,VR2AR-546044,Tilt angle,21,°
2020-02-29 05:00:00,VR2AR-546044,Seawater depth,3,m
2020-02-29 05:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-29 05:00:00,VR2AR-546044,Average noise,207.4,mV
2020-02-29 06:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 06:00:00,VR2AR-546044,Hourly Pings on 69 kHz,49,
2020-02-29 06:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-29 06:00:00,VR2AR-546044,Tilt angle,27,°
2020-02-29 06:00:00,VR2AR-546044,Seawater depth,4,m
2020-02-29 06:00:00,VR2AR-546044,Temperature,7.2,°C
2020-02-29 06:00:00,VR2AR-546044,Average noise,196.0,mV
2020-02-29 07:00:00,VR2AR-546044,Battery,3.6,V
2020-02-29 07:00:00,VR2AR-546044,Hourly Pings on 69 kHz,48,
2020-02-29 07:00:00,VR2AR-546044,Hourly Detections on 69 kHz,6,
2020-02-29 07:00:00,VR2AR-546044,Tilt angle,35,°
2020-02-29 07:00:00,VR2AR-546044,Seawater depth,5,m
